    xev evidencias
1     1   200.9694
2     2   200.9995
3     3   201.0000
4     4   200.9992
5     5   200.9994
6     6   200.9999
7     7   200.9998
8     8   200.9994
9     9   200.9998
10   10   201.0000
11   11   200.9997
12   12   200.9998
13   13   200.9994
14   14   200.9995
15   15   200.9988
16   16   200.9999
17   17   200.9993
18   18   200.9991
19   19   200.9993
20   20   200.9999
21   21   201.0000
22   22   200.9998
23   23   200.9624
24   24   200.9996
25   25   200.9990
26   26   201.0000
27   27   200.9997
28   28   200.9998
29   29   200.9697
30   30   200.9997
31   31   200.9997
32   32   200.9513
33   33   200.9555
34   34   200.9999
35   35   200.9990
36   36   201.0000
37   37   200.9988
38   38   201.0000
39   39   200.9685
40   40   200.9997
41   41   200.9997
42   42   200.9999
43   43   200.9999
44   44   200.9997
45   45   200.9987
46   46   201.0000
47   47   200.9996
48   48   200.9998
49   49   200.9978
50   50   200.9984
51   51   200.9494
52   52   201.0000
53   53   200.9993
54   54   200.9554
55   55   200.9997
56   56   201.0000
57   57   201.0000
58   58   201.0000
59   59   200.9999
60   60   200.9997
61   61   200.9993
62   62   200.9992
63   63   200.9991
64   64   200.9993
65   65   200.9688
66   66   201.0000
67   67   200.9573
68   68   200.9998
69   69   200.9999
70   70   200.9987
71   71   200.9998
72   72   200.9998
73   73   201.0000
74   74   200.9998
75   75   200.9999
76   76   200.9999
77   77   200.9996
78   78   200.9989
79   79   200.9602
80   80   200.9517
81   81   200.9998
82   82   201.0000
83   83   200.9998
84   84   200.9998
85   85   200.9999
86   86   200.9995
87   87   200.9983
88   88   200.9995
89   89   200.9989
90   90   200.9998
91   91   200.9995
92   92   200.9993
93   93   200.9998
94   94   200.9994
95   95   200.9621
96   96   200.9996
97   97   201.0000
98   98   200.9992
99   99   200.9995
100 100   200.9563
101 101   200.9995
102 102   201.0000
103 103   200.9996
104 104   201.0000
105 105   200.9457
106 106   201.0000
107 107   200.9996
108 108   200.9997
109 109   200.9996
110 110   201.0000
111 111   200.9984
112 112   200.9994
113 113   200.9998
114 114   200.9999
115 115   200.9997
116 116   200.9990
117 117   200.9988
118 118   200.9999
119 119   200.9998
120 120   200.9534
121 121   200.9995
122 122   200.9995
123 123   200.9994
124 124   200.9994
125 125   200.9997
126 126   200.9603
127 127   200.9650
128 128   200.9988
129 129   200.9990
130 130   200.9999
131 131   200.9992
132 132   200.9993
133 133   200.9999
134 134   200.9994
135 135   200.9989
136 136   200.9971
137 137   200.9997
138 138   200.9993
139 139   200.9999
140 140   200.9999
141 141   200.9467
142 142   200.9997
143 143   200.9994
144 144   200.9995
145 145   200.9599
146 146   201.0000
147 147   200.9999
148 148   200.9997
149 149   200.9999
150 150   200.9988
151 151   200.9996
152 152   201.0000
153 153   200.9989
154 154   200.9999
155 155   200.9997
156 156   200.9999
157 157   200.9997
158 158   200.9994
